,date,cases,deaths,recovered
0,1/22/20,557,17,30
1,1/23/20,657,18,32
2,1/24/20,944,26,39
3,1/25/20,1437,42,42
4,1/26/20,2120,56,56
5,1/27/20,2929,82,65
6,1/28/20,5580,131,108
7,1/29/20,6169,133,127
8,1/30/20,8237,172,145
9,1/31/20,9927,214,225
10,2/1/20,12038,260,287
11,2/2/20,16787,364,476
12,2/3/20,19887,428,627
13,2/4/20,23899,494,857
14,2/5/20,27644,566,1130
15,2/6/20,30806,636,1493
16,2/7/20,34400,721,2016
17,2/8/20,37131,808,2617
18,2/9/20,40162,908,3247
19,2/10/20,42771,1015,3949
20,2/11/20,44814,1115,4684
21,2/12/20,45232,1120,5151
22,2/13/20,60384,1373,6294
23,2/14/20,66912,1525,8061
24,2/15/20,69055,1668,9397
25,2/16/20,71238,1772,10867
26,2/17/20,73273,1870,12587
27,2/18/20,75155,2010,14352
28,2/19/20,75655,2125,16123
29,2/20/20,76216,2250,18181
30,2/21/20,76846,2254,18894
31,2/22/20,78608,2462,22892
32,2/23/20,78990,2473,23397
33,2/24/20,79558,2633,25229
34,2/25/20,80412,2713,27907
35,2/26/20,81384,2774,30388
36,2/27/20,82728,2817,33282
37,2/28/20,84152,2876,36714
38,2/29/20,86023,2946,39785
39,3/1/20,88402,3000,42721
40,3/2/20,90382,3090,45605
41,3/3/20,92994,3164,48227
42,3/4/20,95338,3260,51170
43,3/5/20,98078,3355,53796
44,3/6/20,102062,3469,55864
45,3/7/20,106199,3573,58358
46,3/8/20,109997,3815,60695
47,3/9/20,114292,4009,62495
48,3/10/20,119051,4284,64402
49,3/11/20,126527,4636,66999
50,3/12/20,133283,4957,68328
51,3/13/20,146477,5460,70255
52,3/14/20,157365,5886,72622
53,3/15/20,168598,6557,76031
54,3/16/20,183165,7268,78086
55,3/17/20,198339,8119,80830
56,3/18/20,215900,9075,83317
57,3/19/20,242987,10217,84958
58,3/20/20,272517,11791,87403
59,3/21/20,304944,13599,91650
60,3/22/20,339156,15427,97867
61,3/23/20,381711,17523,98355
62,3/24/20,423594,19949,107974
63,3/25/20,475075,22920,113753
64,3/26/20,535889,26173,122125
65,3/27/20,599820,29812,130910
66,3/28/20,669402,33861,139421
67,3/29/20,725918,37680,148877
68,3/30/20,790929,42050,164213
69,3/31/20,869371,47218,177803
70,4/1/20,955728,53862,193075
71,4/2/20,1038176,60115,210218
72,4/3/20,1122386,66617,225640
73,4/4/20,1182507,72976,246052
74,4/5/20,1254222,78897,259888
75,4/6/20,1328948,85324,276597
76,4/7/20,1397886,93841,299859
77,4/8/20,1480062,101061,328741
78,4/9/20,1567243,109216,353995
79,4/10/20,1653665,116957,375733
80,4/11/20,1729180,123939,401983
81,4/12/20,1847761,130453,421366
82,4/13/20,1919593,136966,448623
83,4/14/20,2004226,144323,473697
84,4/15/20,2082482,153088,510236
85,4/16/20,2176950,160800,541119
86,4/17/20,2264830,169688,567303
87,4/18/20,2343082,176118,591169
88,4/19/20,2419404,182219,622952
89,4/20/20,2495886,188730,645130
90,4/21/20,2571973,195926,679932
91,4/22/20,2654011,203205,710017
92,4/23/20,2736728,210475,738747
93,4/24/20,2820291,217313,788776
94,4/25/20,2903496,223363,816531
95,4/26/20,2974291,228179,845343
96,4/27/20,3045275,233624,873227
97,4/28/20,3121107,240253,906439
98,4/29/20,3198435,247233,948516
99,4/30/20,3282087,253486,1013632
100,5/1/20,3371033,259073,1051789
101,5/2/20,3449295,265119,1092440
102,5/3/20,3523292,269394,1124973
103,5/4/20,3600929,274239,1159059
104,5/5/20,3680614,280386,1195532
105,5/6/20,3771036,287146,1241651
106,5/7/20,3860174,293012,1281176
107,5/8/20,3950657,298967,1317589
108,5/9/20,4035000,303885,1371030
109,5/10/20,4110223,308223,1404839
110,5/11/20,4186364,312301,1451724
111,5/12/20,4271644,318031,1488766
112,5/13/20,4355992,323468,1544638
113,5/14/20,4451634,329217,1584349
114,5/15/20,4547536,334970,1632452
115,5/16/20,4641426,339511,1688863
116,5/17/20,4719789,343391,1729871
117,5/18/20,4808921,347786,1782787
118,5/19/20,4904739,352754,1834839
119,5/20/20,5010162,358160,1893809
120,5/21/20,5116135,363195,1945029
121,5/22/20,5223477,368901,2053576
122,5/23/20,5327627,373355,2108410
123,5/24/20,5420843,376755,2163937
124,5/25/20,5509066,378449,2227666
125,5/26/20,5601428,383229,2282818
126,5/27/20,5703984,388449,2346145
127,5/28/20,5823977,393440,2413008
128,5/29/20,5945413,398596,2490273
129,5/30/20,6080456,402955,2560723
130,5/31/20,6183316,406242,2637107
131,6/1/20,6283580,409983,2692032
132,6/2/20,6406221,415254,2796144
133,6/3/20,6517437,420875,2875235
134,6/4/20,6655667,426403,2945305
135,6/5/20,6789073,431460,3014470
136,6/6/20,6918403,435600,3086674
137,6/7/20,7029415,438857,3141783
138,6/8/20,7132463,443312,3293394
139,6/9/20,7258445,448357,3375664
140,6/10/20,7395607,453783,3454835
141,6/11/20,7531793,458920,3540714
142,6/12/20,7659267,463663,3620434
143,6/13/20,7793175,468056,3706326
144,6/14/20,7925122,471838,3777145
145,6/15/20,8050034,475905,3857420
146,6/16/20,8193933,483023,3955283
147,6/17/20,8337135,488500,4074114
148,6/18/20,8480229,493854,4155277
149,6/19/20,8661225,500212,4250267
150,6/20/20,8847108,504694,4366121
151,6/21/20,8940170,509338,4434807
152,6/22/20,9082502,513205,4526440
153,6/23/20,9250625,518774,4630495
154,6/24/20,9422061,524272,4746246
155,6/25/20,9601576,529382,4839130
156,6/26/20,9794066,534465,4945110
157,6/27/20,9970478,539201,5051396
158,6/28/20,10138935,542822,5140599
159,6/29/20,10291617,546894,5235170
160,6/30/20,10475388,552146,5352510
161,7/1/20,10690516,557487,5468424
162,7/2/20,10895486,563001,5753358
163,7/3/20,11098124,568241,5863246
164,7/4/20,11287838,573035,6059006
165,7/5/20,11474058,576880,6178369
166,7/6/20,11642331,581148,6302068
167,7/7/20,11851900,587508,6447101
168,7/8/20,12067186,593137,6605157
169,7/9/20,12291782,598986,6739775
170,7/10/20,12524663,604728,6879221
171,7/11/20,12737483,609869,7004913
172,7/12/20,12930415,614171,7116749
173,7/13/20,13124893,618607,7257072
174,7/14/20,13345920,624592,7399324
175,7/15/20,13575706,630511,7559130
176,7/16/20,13820618,636673,7711615
177,7/17/20,14058038,643711,7895036
178,7/18/20,14293379,650241,8045823
179,7/19/20,14505270,655135,8133881
180,7/20/20,14713414,659101,8293009
181,7/21/20,14956435,665439,8467705
182,7/22/20,15231791,672857,8647437
183,7/23/20,15511422,679494,8823667
184,7/24/20,15794928,685956,9051967
185,7/25/20,16044485,692021,9271779
186,7/26/20,16256294,696430,9415080
187,7/27/20,16490680,701726,9586463
188,7/28/20,16754567,708664,9756921
189,7/29/20,17024801,715292,9959507
190,7/30/20,17306582,722069,10173026
191,7/31/20,17594044,728679,10372632
192,8/1/20,17840315,734665,10553543
193,8/2/20,18070926,739352,10692267
194,8/3/20,18276983,744209,10914712
195,8/4/20,18542287,751380,11138369
196,8/5/20,18817443,758757,11360064
197,8/6/20,19104145,765604,11548871
198,8/7/20,19386579,772357,11740917
199,8/8/20,19651806,778381,11941161
200,8/9/20,19884801,783575,12119939
201,8/10/20,20118013,788952,12284150
202,8/11/20,20383576,795567,12589218
203,8/12/20,20658646,802540,12829863
204,8/13/20,20948740,809327,12993779
205,8/14/20,21255813,815894,13277021
206,8/15/20,21504839,821948,13445625
207,8/16/20,21714880,826748,13678579
208,8/17/20,21927762,831371,13889591
209,8/18/20,22187166,838427,14117186
210,8/19/20,22464640,844850,14335183
211,8/20/20,22736119,851277,14542973
212,8/21/20,22998072,857049,14711467
213,8/22/20,23261601,862838,14921384
214,8/23/20,23464360,867145,15137915
215,8/24/20,23692460,872002,15337336
216,8/25/20,23937668,878565,15568885
217,8/26/20,24219359,885102,15794619
218,8/27/20,24506622,891317,16001856
219,8/28/20,24790561,897142,16200974
220,8/29/20,25051295,902930,16412387
221,8/30/20,25271033,907204,16622627
222,8/31/20,25535340,911637,16823417
223,9/1/20,25802224,918238,17081379
224,9/2/20,26084114,924555,17300616
225,9/3/20,26369544,930655,17521985
226,9/4/20,26671276,936495,17735486
227,9/5/20,26944997,941588,17936474
228,9/6/20,27173995,945723,18148265
229,9/7/20,27391278,955346,18345813
230,9/8/20,27637790,960469,18547610
231,9/9/20,27923100,966734,18787877
232,9/10/20,28227493,972736,19004538
233,9/11/20,28543855,978735,19228208
234,9/12/20,28832580,983793,19451142
235,9/13/20,29081415,987756,19638990
236,9/14/20,29348555,992363,19867489
237,9/15/20,29629107,998925,20093776
238,9/16/20,29934059,1004793,20323253
239,9/17/20,30249632,1010441,20543464
240,9/18/20,30576278,1016293,20794613
241,9/19/20,30869397,1021566,21031598
242,9/20/20,31124526,1025548,21268675
243,9/21/20,31384435,1029976,21514153
244,9/22/20,31668754,1036127,21733546
245,9/23/20,31980407,1042678,21996959
246,9/24/20,32301360,1048346,22252629
247,9/25/20,32631974,1054363,22491837
248,9/26/20,32918085,1059795,22753980
249,9/27/20,33165079,1063680,22967859
250,9/28/20,33426328,1067794,23190401
251,9/29/20,33709128,1073842,23431685
252,9/30/20,34033675,1080268,23679903
253,10/1/20,34352787,1089162,23901445
254,10/2/20,34682292,1094892,24073730
255,10/3/20,34979647,1099676,24329331
256,10/4/20,35240179,1103717,24551490
257,10/5/20,35551524,1110806,24788958
258,10/6/20,35867647,1116668,25021584
259,10/7/20,36216841,1122589,25276775
260,10/8/20,36576162,1128972,25496281
261,10/9/20,36936565,1135152,25703071
262,10/10/20,37292089,1140057,25898476
263,10/11/20,37581583,1144252,26121116
264,10/12/20,37871608,1148379,26321235
265,10/13/20,38190980,1153728,26513680
266,10/14/20,38571764,1159891,26725965
267,10/15/20,38978760,1166100,26933292
268,10/16/20,39389280,1172313,27136306
269,10/17/20,39761413,1178040,27334589
270,10/18/20,40092656,1181999,27536100
271,10/19/20,40467606,1186841,27738631
272,10/20/20,40856480,1193465,27950078
273,10/21/20,41296091,1200368,28161300
274,10/22/20,41778168,1206346,28388093
275,10/23/20,42272069,1213450,28594827
276,10/24/20,42728414,1219368,28806408
277,10/25/20,43087247,1223733,29003666
278,10/26/20,43570291,1229572,29242801
279,10/27/20,44038754,1236958,29832506
280,10/28/20,44560523,1244133,30098468
281,10/29/20,45111898,1251370,30345219
282,10/30/20,45683640,1259145,30600993
283,10/31/20,46155745,1265816,30845322
284,11/1/20,46594934,1271172,31103269
285,11/2/20,47143303,1277629,31383406
286,11/3/20,47708817,1287201,31634979
287,11/4/20,48200961,1297094,31914298
288,11/5/20,48820295,1305834,32217953
289,11/6/20,49443478,1314990,32506314
290,11/7/20,50042669,1322776,32805330
291,11/8/20,50533518,1329177,33058570
292,11/9/20,51043324,1336758,33315623
293,11/10/20,51614069,1346533,33572983
294,11/11/20,52238734,1356950,33953207
295,11/12/20,52878929,1366665,34179446
296,11/13/20,53539863,1376562,34481578
297,11/14/20,54126889,1385731,34759397
298,11/15/20,54617117,1392659,34990157
299,11/16/20,55142751,1400713,35380887
300,11/17/20,55745063,1411682,35814478
301,11/18/20,56367328,1423148,36177588
302,11/19/20,57021314,1434288,36551887
303,11/20/20,57695345,1446066,36907311
304,11/21/20,58287916,1455371,37246581
305,11/22/20,58785996,1463040,37520305
306,11/23/20,59320006,1471765,37931518
307,11/24/20,59910792,1484276,38303697
308,11/25/20,60527871,1496269,38741107
309,11/26/20,61117132,1507211,39107983
310,11/27/20,61812474,1518732,39489609
311,11/28/20,62420041,1528249,39849315
312,11/29/20,62915662,1535902,40167598
313,11/30/20,63422239,1544981,40569854
314,12/1/20,64037142,1557368,41046058
315,12/2/20,64677389,1569854,41508984
316,12/3/20,65367986,1582561,41935968
317,12/4/20,66064345,1594992,42426585
318,12/5/20,66706697,1605596,42862533
319,12/6/20,67250638,1613691,43178577
320,12/7/20,67785484,1622523,43591716
321,12/8/20,68416150,1634560,44032487
322,12/9/20,69081500,1647129,44458967
323,12/10/20,70576907,1659547,44950193
324,12/11/20,71282658,1672729,45428333
325,12/12/20,71931348,1683558,46933276
326,12/13/20,72470142,1691787,47328395
327,12/14/20,73021298,1700981,41338398
328,12/15/20,73669919,1714204,41696562
329,12/16/20,74387461,1728111,42058782
330,12/17/20,75126063,1741277,42434191
331,12/18/20,75847501,1754342,42751919
332,12/19/20,76483006,1765600,43103505
333,12/20/20,77030307,1773979,43380334
334,12/21/20,77576529,1783464,43723554
335,12/22/20,78227986,1797308,44086739
336,12/23/20,78910081,1811049,44410879
337,12/24/20,79603472,1823258,44725551
338,12/25/20,80096696,1831882,45017157
339,12/26/20,80629340,1840235,45425321
340,12/27/20,81042534,1848389,45717709
341,12/28/20,81541719,1857935,46016135
342,12/29/20,82213594,1872872,46369230
343,12/30/20,82938894,1888314,46757475
344,12/31/20,83778622,1901777,47055807
345,1/1/21,84342314,1911418,47359111
346,1/2/21,84946690,1920880,47614296
347,1/3/21,85467020,1928820,47882778
348,1/4/21,86024461,1938770,48173186
349,1/5/21,86765351,1954189,48488547
350,1/6/21,87556264,1969110,48801672
351,1/7/21,88426222,1984073,49125603
352,1/8/21,89261637,1999363,49422866
353,1/9/21,90017904,2012679,49753111
354,1/10/21,90619443,2022236,50023661
355,1/11/21,91233917,2032515,50313949
356,1/12/21,91926453,2049477,50657506
357,1/13/21,92669726,2065943,51023567
358,1/14/21,93428784,2081663,51396412
359,1/15/21,94212637,2097380,51717034
360,1/16/21,94869509,2111413,52034089
361,1/17/21,95397119,2121283,52349804
362,1/18/21,95914366,2131731,52668557
363,1/19/21,96507148,2147411,53071501
364,1/20/21,97194354,2165160,53399272
365,1/21/21,97863110,2182453,53765411
366,1/22/21,98526596,2198512,54147168
367,1/23/21,99103312,2213077,54463661
368,1/24/21,99565294,2222839,54774618
369,1/25/21,100046846,2233981,55089059
370,1/26/21,100608158,2251396,55418602
371,1/27/21,101209122,2268312,55759371
372,1/28/21,101824237,2284838,56075030
373,1/29/21,102413219,2300601,56439137
374,1/30/21,102928083,2313886,56790303
375,1/31/21,103324692,2323435,57079202
376,2/1/21,103767694,2333683,57351844
377,2/2/21,104233148,2348540,57702034
378,2/3/21,104758397,2364399,58031881
379,2/4/21,105230171,2377326,58325870
380,2/5/21,105766676,2394507,58607157
381,2/6/21,106201874,2406362,58901714
382,2/7/21,106553422,2414130,59179149
383,2/8/21,106893339,2423690,59411983
384,2/9/21,107300629,2438420,59783591
385,2/10/21,107741093,2452277,60052899
386,2/11/21,108184860,2466147,60328984
387,2/12/21,108614449,2479026,60616583
388,2/13/21,108994937,2489712,60862826
389,2/14/21,109303582,2496818,61058257
390,2/15/21,109584404,2504635,61346870
391,2/16/21,109944197,2515738,61582275
392,2/17/21,110330576,2527093,61876216
393,2/18/21,110741376,2539082,62112834
394,2/19/21,111151038,2550740,62347470
395,2/20/21,111526248,2559836,62616686
396,2/21/21,111845811,2566627,62833943
397,2/22/21,112141380,2573874,63016513
398,2/23/21,112534122,2585355,63295143
399,2/24/21,112979052,2597797,63504602
400,2/25/21,113432016,2608800,63732294
401,2/26/21,113873956,2619349,63992562
402,2/27/21,114270693,2628079,64243284
403,2/28/21,114578478,2634579,64418461
404,3/1/21,114883979,2642087,64633387
405,3/2/21,115197242,2652344,64903491
406,3/3/21,115639088,2663901,65132899
407,3/4/21,116097496,2674306,65383179
408,3/5/21,116546593,2684847,65609539
409,3/6/21,116960620,2693104,65846042
410,3/7/21,117335064,2699185,66084362
411,3/8/21,117640533,2706378,66358920
412,3/9/21,118054577,2716871,66621153
413,3/10/21,118513444,2727028,66856509
414,3/11/21,119003124,2737241,67129126
415,3/12/21,119492372,2747105,67397682
416,3/13/21,119947968,2755757,67650214
417,3/14/21,120313043,2761748,67895902
418,3/15/21,120667127,2769255,68185781
419,3/16/21,121134161,2779868,68452266
420,3/17/21,121679877,2790458,68716802
421,3/18/21,122227806,2801179,68985878
422,3/19/21,122790345,2811995,69264939
423,3/20/21,123288792,2820738,69523150
424,3/21/21,123729261,2829290,69803249
425,3/22/21,124150452,2837256,70137878
426,3/23/21,124656291,2848741,70451020
427,3/24/21,125285990,2859349,70786662
428,3/25/21,125938183,2870902,71098479
429,3/26/21,126578225,2883671,71463065
430,3/27/21,127162758,2893881,71768318
431,3/28/21,127655412,2901166,72097106
432,3/29/21,128114688,2909829,72401542
433,3/30/21,128676894,2921730,72736785
434,3/31/21,129350790,2934661,73119294
435,4/1/21,130060609,2946963,73464080
436,4/2/21,130705394,2957615,73784287
437,4/3/21,131245744,2966954,74150288
438,4/4/21,131805666,2974382,74498476
439,4/5/21,132302655,2982636,74846289
440,4/6/21,132910149,2995089,75216285
441,4/7/21,133573288,3010448,75699590
442,4/8/21,134409344,3024749,76094849
443,4/9/21,135156662,3039094,76548562
444,4/10/21,135827306,3052100,76933556
445,4/11/21,136536918,3061223,77464028
446,4/12/21,137150764,3071131,77858760
447,4/13/21,137914588,3084925,78345222
448,4/14/21,138725902,3099015,78792112
449,4/15/21,139547133,3112671,79236514
450,4/16/21,140406983,3126051,79740631
451,4/17/21,141200970,3138668,80259167
452,4/18/21,141901080,3147807,80839358
453,4/19/21,142592012,3158941,81374733
454,4/20/21,143431609,3173235,81979570
455,4/21/21,144320851,3187988,82491870
456,4/22/21,145220252,3201909,83128166
457,4/23/21,146127911,3217170,83767998
458,4/24/21,146952141,3230302,84344289
459,4/25/21,147680627,3241075,84878103
460,4/26/21,148369677,3252705,85565469
461,4/27/21,149208799,3267706,86246373
462,4/28/21,150107590,3283651,86843038
463,4/29/21,151001625,3299390,87550354
464,4/30/21,151892994,3313809,88236950
465,5/1/21,152687904,3326848,88919400
466,5/2/21,153375175,3337179,89612414
467,5/3/21,154065632,3348864,90255903
468,5/4/21,154850588,3362923,90912803
469,5/5/21,155692589,3377827,91626285
470,5/6/21,156565435,3392403,92301897
471,5/7/21,157400261,3406868,92998026
472,5/8/21,158188559,3420197,93709031
473,5/9/21,158837968,3430671,94371824
474,5/10/21,159463612,3441763,95000510
475,5/11/21,160189411,3455934,95751514
476,5/12/21,160956898,3470075,96399063
477,5/13/21,161691597,3483510,97089180
478,5/14/21,162401162,3496538,97754527
479,5/15/21,163032774,3508823,98397064
480,5/16/21,163579396,3519124,99064468
481,5/17/21,164122938,3530454,99808930
482,5/18/21,164742576,3544530,100552043
483,5/19/21,165414621,3557987,101250070
484,5/20/21,165696927,3571167,101886759
485,5/21/21,166323402,3584143,102501547
486,5/22/21,166895763,3595588,103118308
487,5/23/21,167377386,3605452,103620279
488,5/24/21,167828464,3614598,104247871
489,5/25/21,168361871,3627580,104824934
490,5/26/21,168930299,3640387,105380747
491,5/27/21,169477196,3653327,106078105
492,5/28/21,169982707,3665348,106633068
493,5/29/21,170463127,3676155,107140668
494,5/30/21,170853074,3684555,107630597
495,5/31/21,171240130,3693252,108159766
496,6/1/21,171700134,3708466,108743649
497,6/2/21,172187762,3720392,109272023
498,6/3/21,172668261,3730550,109701213
499,6/4/21,173093152,3741209,110226715
500,6/5/21,173489803,3750622,110704845
501,6/6/21,173812784,3757928,111146371
502,6/7/21,174134551,3766003,111568368
503,6/8/21,174504668,3776657,111983104
504,6/9/21,174922960,3786840,112435799
505,6/10/21,175376464,3802820,112849488
506,6/11/21,175798501,3814560,113225020
507,6/12/21,176166881,3824370,113563994
508,6/13/21,176469682,3833641,113993655
509,6/14/21,176778984,3841632,114340429
510,6/15/21,177153741,3852383,114800574
511,6/16/21,177542916,3862466,115149801
512,6/17/21,177938911,3871765,115530279
513,6/18/21,178342418,3880958,115849842
514,6/19/21,178689716,3889039,116181692
515,6/20/21,178994480,3895907,116446786
516,6/21/21,179291135,3902891,116804004
517,6/22/21,179701349,3911876,117107408
518,6/23/21,180097972,3921222,117507151
519,6/24/21,180507231,3929883,117796862
520,6/25/21,180924899,3939117,118125509
521,6/26/21,181287796,3946659,118420068
522,6/27/21,181599032,3952754,118678807
523,6/28/21,181932050,3959315,119006263
524,6/29/21,182313258,3967474,119299679
525,6/30/21,182712726,3976679,119580620
526,7/1/21,183148268,3985220,120008476
527,7/2/21,183590610,3993596,120299518
528,7/3/21,183964437,4000499,120569293
529,7/4/21,184292181,4007139,120868181
530,7/5/21,184670098,4014530,121235174
531,7/6/21,185120629,4023012,121563017
532,7/7/21,185585871,4031566,121831180
533,7/8/21,186067750,4040486,122123831
534,7/9/21,186580986,4048903,122462949
535,7/10/21,187002099,4055467,122907153
536,7/11/21,187371991,4063098,123197639
537,7/12/21,187806155,4071240,123499875
538,7/13/21,188331814,4079621,123783322
539,7/14/21,188869796,4088212,124113063
540,7/15/21,189446223,4096847,124394119
541,7/16/21,190042161,4105608,124784824
542,7/17/21,190531011,4113118,125065613
543,7/18/21,190951220,4119721,125382096
544,7/19/21,191440687,4126947,125688817
545,7/20/21,191973106,4147646,126008997
546,7/21/21,192529214,4156313,126315580
547,7/22/21,193094403,4165094,126671708
548,7/23/21,193822543,4173425,126918098
549,7/24/21,194254462,4182089,127435324
550,7/25/21,194700076,4189471,127762741
551,7/26/21,195240703,4197977,128063201
552,7/27/21,195847033,4207766,128409040
553,7/28/21,196497116,4217888,128745703
554,7/29/21,197139985,4228154,129094091
555,7/30/21,197872339,4237757,129401282
556,7/31/21,198389684,4246601,129705211
557,8/1/21,198872752,4254020,129994389
558,8/2/21,199443855,4262171,130277533
559,8/3/21,200078130,4272524,130582001
560,8/4/21,200758588,4283016,130899061
561,8/5/21,201444210,4294008,0
562,8/6/21,202263736,4304479,0
563,8/7/21,202825005,4313156,0
564,8/8/21,203292722,4320653,0
565,8/9/21,203911805,4329483,0
566,8/10/21,204557617,4341001,0
567,8/11/21,205288310,4351528,0
568,8/12/21,205994052,4362040,0
569,8/13/21,206795847,4372514,0
570,8/14/21,207348758,4381256,0
571,8/15/21,207815449,4388700,0
572,8/16/21,208479793,4398564,0
573,8/17/21,209162480,4409274,0
574,8/18/21,209898123,4420094,0
575,8/19/21,210609857,4431541,0
576,8/20/21,211395070,4442035,0
577,8/21/21,211954124,4450955,0
578,8/22/21,212402204,4458738,0
579,8/23/21,213086398,4468791,0
580,8/24/21,213763171,4479815,0
581,8/25/21,214500582,4491128,0
582,8/26/21,215237031,4502719,0
583,8/27/21,215988154,4513136,0
584,8/28/21,216545334,4521572,0
585,8/29/21,216992164,4528394,0
586,8/30/21,217664015,4537965,0
587,8/31/21,218284677,4547280,0
588,9/1/21,219003757,4559705,0
589,9/2/21,219680532,4570959,0
590,9/3/21,220404105,4581684,0
591,9/4/21,220900816,4589458,0
592,9/5/21,221347788,4596034,0
593,9/6/21,221825561,4604204,0
594,9/7/21,222482051,4614669,0
595,9/8/21,223119762,4624746,0
596,9/9/21,223759907,4635493,0
597,9/10/21,224418618,4644672,0
598,9/11/21,224887140,4653045,0
599,9/12/21,225258543,4658713,0
600,9/13/21,225836445,4667871,0
601,9/14/21,226386274,4677775,0
602,9/15/21,226953125,4688201,0
603,9/16/21,227540479,4698716,0
604,9/17/21,228163698,4707779,0
605,9/18/21,228687569,4714262,0
606,9/19/21,229050966,4720360,0
607,9/20/21,229581157,4728733,0
608,9/21/21,230069837,4738088,0
609,9/22/21,230604815,4747809,0
610,9/23/21,231152445,4757656,0
611,9/24/21,231701691,4766356,0
612,9/25/21,232075693,4771829,0
613,9/26/21,232431512,4777361,0
614,9/27/21,232914281,4785135,0
615,9/28/21,233365258,4794511,0
616,9/29/21,233856235,4803804,0
617,9/30/21,234346132,4812680,0
618,10/1/21,234868134,4821315,0
619,10/2/21,235218776,4827259,0
620,10/3/21,235527819,4831615,0
621,10/4/21,235974883,4838855,0
622,10/5/21,236397732,4846217,0
623,10/6/21,236904785,4855353,0
624,10/7/21,237366619,4864310,0
625,10/8/21,237842039,4871872,0
626,10/9/21,238182243,4876698,0
627,10/10/21,238498696,4881452,0
628,10/11/21,238886684,4887418,0
629,10/12/21,239324892,4895389,0
630,10/13/21,239781314,4904291,0
631,10/14/21,240234710,4912300,0
632,10/15/21,240692696,4919505,0
633,10/16/21,241034054,4924851,0
634,10/17/21,241347355,4929210,0
635,10/18/21,241775141,4935809,0
636,10/19/21,242206709,4943758,0
637,10/20/21,242683018,4952429,0
638,10/21/21,243145068,4960196,0
639,10/22/21,243637892,4968369,0
640,10/23/21,244008150,4974256,0
641,10/24/21,244317353,4978899,0
642,10/25/21,244769753,4985790,0
643,10/26/21,245196224,4993535,0
644,10/27/21,245710221,5002670,0
645,10/28/21,246193247,5011607,0
646,10/29/21,246687330,5019428,0
647,10/30/21,247061943,5025432,0
648,10/31/21,247410790,5030069,0
649,11/1/21,247868435,5036555,0
650,11/2/21,248272884,5043629,0
651,11/3/21,248797676,5052089,0
652,11/4/21,249315133,5059658,0
653,11/5/21,249839415,5068238,0
654,11/6/21,250245164,5074885,0
655,11/7/21,250585863,5079504,0
656,11/8/21,251110911,5086314,0
657,11/9/21,251580325,5094315,0
658,11/10/21,252153854,5102578,0
659,11/11/21,252674737,5110254,0
660,11/12/21,253274490,5119251,0
661,11/13/21,253670214,5125542,0
662,11/14/21,254018493,5130270,0
663,11/15/21,254620079,5137386,0
664,11/16/21,255126904,5144998,0
665,11/17/21,255742113,5154150,0
666,11/18/21,256363770,5162439,0
667,11/19/21,256978407,5170412,0
668,11/20/21,257416423,5176440,0
669,11/21/21,257796215,5181079,0
670,11/22/21,258500870,5188530,0
671,11/23/21,259093463,5196540,0
672,11/24/21,259751368,5205110,0
673,11/25/21,260348589,5212967,0
674,11/26/21,260962280,5219862,0
675,11/27/21,261381085,5225727,0
676,11/28/21,261770875,5230630,0
677,11/29/21,262513214,5238554,0
678,11/30/21,263113681,5246577,0
679,12/1/21,263816145,5255817,0
680,12/2/21,264523382,5265978,0
681,12/3/21,265254220,5274569,0
682,12/4/21,265726430,5280087,0
683,12/5/21,266146231,5287507,0
684,12/6/21,266849953,5294966,0
685,12/7/21,267489200,5302689,0
686,12/8/21,268200544,5310986,0
687,12/9/21,268898928,5319552,0
688,12/10/21,269592462,5327568,0
689,12/11/21,270059366,5333403,0
690,12/12/21,270485916,5337997,0
691,12/13/21,271179799,5344930,0
692,12/14/21,271816596,5352663,0
693,12/15/21,272556770,5361688,0
694,12/16/21,273300997,5369034,0
695,12/17/21,274068563,5376334,0
696,12/18/21,274598505,5382005,0
697,12/19/21,275083461,5386352,0
698,12/20/21,275893527,5393631,0
699,12/21/21,276652188,5401189,0
700,12/22/21,277566671,5411559,0
701,12/23/21,278578699,5418816,0
702,12/24/21,279434799,5424511,0
703,12/25/21,280116791,5428824,0
704,12/26/21,280692270,5432656,0
705,12/27/21,282033889,5439626,0
706,12/28/21,283370260,5447300,0
707,12/29/21,285075127,5455241,0
708,12/30/21,287025253,5462660,0
709,12/31/21,288728291,5469019,0
710,1/1/22,289931428,5473282,0
711,1/2/22,290849939,5476678,0
